Facades,Habitable Surface,Land Surface,Bedroom Count,Bathroom Count,Toilet Count,Room Count,Kitchen Type,Furnished,Terrace,Garden Exists,State of Building,Living Surface,EPC,Consumption Per m2,ANTWERPEN,BRUSSEL,HENEGOUWEN,LIMBURG,LUIK,LUXEMBURG,NAMEN,OOST-VLAANDEREN,VLAAMS-BRABANT,WAALS-BRABANT,WEST-VLAANDEREN
1,6816.899626914479,19882.69796724096,59,14,8,81,2,1,0,0,2,1101.7441267420613,1,102614.69793745369,0,1,0,0,0,0,0,0,0,0,0
3,3074.4075372792563,46921.48509878472,9,6,9,24,1,1,0,1,3,1089.6516867079042,8,33075.36875213461,0,1,0,0,0,0,0,0,0,0,0
7,1048.5691140980043,9132.05153407153,49,3,7,59,1,0,1,1,3,1160.517702676156,2,126717.3232742536,0,0,0,0,0,1,0,0,0,0,0
8,6631.650338051199,21484.21528240419,20,6,5,31,1,1,0,0,6,147.0225165742487,6,48212.39592360905,0,0,0,1,0,0,0,0,0,0,0
9,1566.0841518928753,46770.56629015443,39,12,2,53,1,1,0,0,4,108.99200209544954,9,12660.955799206953,0,0,0,0,0,0,0,0,0,1,0
7,229.18710373571687,34459.67766126745,55,5,15,75,1,1,0,0,3,1209.0232742183296,1,113666.80094275765,0,0,0,0,0,0,0,0,0,1,0
3,6167.311695266684,26887.76112828781,42,10,11,63,0,1,1,1,4,1106.0185055607967,9,53543.607011351014,0,0,0,0,0,0,0,0,0,0,1
4,3807.6022486450374,19192.776949182804,55,3,8,66,3,1,0,0,4,508.73401850583684,7,33250.088359927715,0,0,0,0,0,0,1,0,0,0,0
3,285.57510584149446,20134.093070171097,37,8,7,52,3,1,1,0,6,588.6072683712428,9,73822.5556177933,0,0,0,0,0,0,1,0,0,0,0
6,1269.4379581398202,44400.64159838196,2,12,11,25,2,1,1,0,1,1207.5229311062405,5,112157.25505433323,0,1,0,0,0,0,0,0,0,0,0
9,1791.2108916507823,3592.918206904627,57,14,3,74,1,0,0,0,2,144.15779535117247,4,74000.88938592716,0,0,0,0,0,0,0,0,0,0,1
5,6480.688534722587,9892.120038707657,9,2,12,23,2,0,0,0,5,731.0311349408126,6,92161.19063921725,0,1,0,0,0,0,0,0,0,0,0
6,834.2809458827883,25877.177181361465,14,4,4,22,0,1,0,1,4,80.12022641506857,7,85617.00347241558,0,0,0,0,0,0,0,0,0,1,0
1,6009.914214193886,10270.435945714793,57,3,12,72,2,1,1,0,4,485.8868096792941,4,60170.66569982712,0,0,0,0,1,0,0,0,0,0,0
2,4604.25171329238,26592.51354714424,47,3,6,56,2,0,1,0,6,107.87409574298395,8,103840.93572476914,0,1,0,0,0,0,0,0,0,0,0
6,2660.318769112986,24769.232246724183,60,1,8,69,0,1,0,1,3,1199.3762558706449,5,26940.109152429846,0,0,1,0,0,0,0,0,0,0,0
4,5998.777715405709,3264.192301484208,40,3,2,45,1,1,0,1,2,1126.2224750543296,4,66070.02492240431,0,0,0,1,0,0,0,0,0,0,0
1,346.0675008300078,7238.188094515569,23,14,9,46,3,1,1,1,4,590.5430034281585,3,10408.28919429414,0,0,1,0,0,0,0,0,0,0,0
8,174.0404483290796,21330.072872398494,9,13,1,23,2,0,0,1,2,915.192191517798,1,30420.920549668932,0,0,0,0,0,0,1,0,0,0,0
2,4287.041740452088,27872.62022788607,59,4,12,75,3,0,1,1,2,180.90018621151427,3,98284.81573189727,1,0,0,0,0,0,0,0,0,0,0
7,1523.3541292139228,29206.026882201357,56,12,1,69,3,0,1,0,4,275.17254324498725,8,87249.8042163886,0,0,0,0,1,0,0,0,0,0,0
4,1921.1661832360908,4968.448971916413,38,7,1,46,2,0,0,0,5,254.13325810051126,5,106610.06391517479,0,0,0,0,0,0,0,0,1,0,0
7,582.7847579612041,40155.773591758916,10,13,9,32,2,0,1,1,1,686.7643692169776,9,6054.011783732032,1,0,0,0,0,0,0,0,0,0,0
2,4952.950572564846,9980.267631183666,56,13,9,78,2,1,1,1,4,811.1629861742101,2,3442.270413090279,0,0,0,0,0,0,0,1,0,0,0
2,1937.565290523789,26280.113298701057,19,9,2,30,3,1,0,0,3,863.5194665678263,9,48882.734448546515,0,0,0,0,0,0,0,1,0,0,0
6,5919.205948954367,15648.07665309964,48,6,4,58,3,0,1,1,1,621.9072050187326,6,96511.29203443177,1,0,0,0,0,0,0,0,0,0,0
7,7696.900073744013,39763.544263164615,55,8,15,78,3,0,1,1,3,488.564236490007,1,101819.68164224258,0,0,1,0,0,0,0,0,0,0,0
9,4878.567005636083,9030.221025460069,24,12,2,38,0,0,0,1,4,246.01514559656405,2,60713.9603935432,0,0,0,0,0,0,0,0,1,0,0
8,2828.7909315720653,10811.470972819641,16,5,8,29,3,1,0,1,4,452.7268274106746,6,26733.58934905586,0,0,0,0,0,0,0,1,0,0,0
7,6285.321921350658,31418.219037050294,9,5,4,18,2,0,1,1,3,844.0485196750236,9,4616.290171952923,0,0,0,0,0,0,0,0,0,1,0
9,4747.389310079073,30657.873120271473,21,5,9,35,2,0,1,0,2,650.4149951806974,5,23042.388012150892,0,0,0,1,0,0,0,0,0,0,0
6,1776.0009022257807,14861.718817852485,58,8,1,67,1,0,0,1,6,1238.8697126487102,4,11553.109136502226,0,0,0,0,0,0,0,0,0,0,1
6,2807.506323847566,3610.6038854040985,59,11,11,81,3,1,0,1,2,817.9723516561717,1,39158.678990815424,0,0,1,0,0,0,0,0,0,0,0
4,1951.8824348893722,4206.647514614791,53,14,9,76,2,1,0,1,3,184.259610570562,3,5873.3375772505715,0,0,0,0,0,1,0,0,0,0,0
4,1267.9096819927686,31857.927372387418,30,9,6,45,0,0,1,0,5,127.85185836858928,6,57438.868210862565,0,0,0,0,0,0,0,0,0,0,1
3,704.4482039640749,28961.137304597974,11,9,4,24,3,0,0,1,5,6.13605195715114,3,71720.79118013989,0,0,0,0,0,0,0,0,1,0,0
1,3269.5495780128754,43217.78316967884,22,15,11,48,3,0,0,0,4,61.59397981369491,2,63439.62803571687,0,0,0,0,1,0,0,0,0,0,0
3,1589.3168379290896,28771.989984427008,33,4,3,40,0,0,0,0,6,532.4558470960127,2,83702.2872074132,0,1,0,0,0,0,0,0,0,0,0
5,2669.214756987162,7106.478681852213,25,9,2,36,3,0,0,0,5,1173.91039144254,6,108930.37160861505,0,1,0,0,0,0,0,0,0,0,0
1,1324.0198279911901,41955.59442076859,43,6,6,55,0,0,0,1,1,222.51801294977412,6,22655.370303524374,0,0,0,0,0,1,0,0,0,0,0
3,3509.925526647766,36861.34264166171,54,14,15,83,3,1,0,1,3,68.19263905046672,9,112449.60676561442,1,0,0,0,0,0,0,0,0,0,0
3,2631.597264707145,45244.25992903228,28,12,1,41,1,1,1,1,3,835.0613927080719,2,2763.2599360413005,0,0,0,0,0,0,1,0,0,0,0
9,4109.952428608138,46509.8475675004,33,11,6,50,3,1,1,0,4,980.4521034053142,8,124197.62388843042,0,1,0,0,0,0,0,0,0,0,0
8,1765.1706639055064,35183.88010222465,2,13,8,23,0,0,1,0,3,1009.9766969606983,2,102781.51470490379,0,0,0,0,0,0,0,0,0,1,0
8,1600.367365886225,10808.288117146198,11,1,3,15,0,0,0,0,2,895.1366858853219,3,77904.65515330702,0,0,0,0,0,0,0,0,0,1,0
9,3102.798636319781,16916.888588804315,46,8,4,58,3,0,0,0,1,494.20914939630387,2,18405.831151933584,0,0,0,0,1,0,0,0,0,0,0
5,2486.518292601076,47144.46192448747,16,6,9,31,3,1,1,0,6,488.26860052706525,5,61203.070012383156,0,0,0,0,0,0,1,0,0,0,0
1,7351.670941980133,32325.362931556167,25,7,10,42,2,1,0,1,4,118.80112530925355,7,39556.7108809147,1,0,0,0,0,0,0,0,0,0,0
9,4291.135646748786,29524.015409587362,6,2,3,11,2,1,0,1,4,226.5866599659631,6,33897.9413745415,0,0,0,0,0,0,0,1,0,0,0
3,1258.0511761384685,21051.53253111862,8,13,2,23,1,0,0,1,5,176.15715925724464,5,33327.13775089294,0,0,0,0,0,0,1,0,0,0,0
2,5782.085669918363,37059.10661788297,58,5,4,67,2,1,1,1,5,1030.9543662679996,6,87189.59214388397,0,0,0,0,0,0,1,0,0,0,0
6,1568.0666090584064,47970.99448102786,17,5,11,33,1,0,1,0,2,3.0026937292840286,8,75554.54966641152,0,1,0,0,0,0,0,0,0,0,0
9,4452.694445569477,40391.410573265515,51,1,4,56,0,1,1,1,2,205.92990674944076,3,5876.246618301296,0,0,0,0,1,0,0,0,0,0,0
4,3181.6209712976806,17161.372383476148,40,5,11,56,2,1,0,1,4,460.18621679208377,7,13453.933835517004,0,0,0,0,0,0,0,0,1,0,0
9,4889.517432263887,29808.091520066668,46,11,8,65,1,0,0,0,4,497.87222102226536,8,51449.00838247319,0,0,0,0,0,0,0,1,0,0,0
6,5891.144399445357,41684.14381718659,58,11,10,79,3,1,0,1,4,470.0179187954172,4,70029.97574844761,0,1,0,0,0,0,0,0,0,0,0
5,3501.845107494284,16619.310193796242,14,11,4,29,1,1,0,1,3,404.40806802334464,3,57284.029284706434,0,0,0,0,0,0,1,0,0,0,0
1,1689.9931014638137,47768.40097035848,41,9,8,58,3,1,0,0,2,332.4500813680437,6,28186.575729082553,0,0,1,0,0,0,0,0,0,0,0
8,606.4477835193085,49200.014357545726,7,2,7,16,3,0,0,1,6,901.2336032057979,1,19543.853966336686,0,0,1,0,0,0,0,0,0,0,0
3,4751.14917029942,43331.161509494705,52,2,1,55,3,1,0,0,6,670.5739585006048,8,107008.81674604541,0,0,0,0,1,0,0,0,0,0,0
3,593.8382520337752,35553.34383595034,28,8,14,50,2,1,1,0,6,277.95280910132334,3,47013.412966283184,0,0,0,0,0,1,0,0,0,0,0
6,5118.825534517567,10996.804009603873,15,8,1,24,0,0,0,1,6,316.5724981265395,3,26866.481943415612,0,0,0,0,0,0,1,0,0,0,0
5,252.6895582537326,20590.13829163504,31,1,6,38,2,1,0,1,2,718.9475641209222,9,47616.84331391972,1,0,0,0,0,0,0,0,0,0,0
5,1217.4238003565706,35049.6862321776,27,14,13,54,0,1,0,0,6,257.1495926824847,1,111914.03491735656,0,0,0,1,0,0,0,0,0,0,0
3,4586.1387128169845,33014.54634968155,42,10,13,65,2,1,0,1,3,152.1475992239894,1,90940.75544280277,0,0,0,0,0,0,0,0,0,1,0
5,6332.369463593476,21552.48506881216,13,3,1,17,2,0,0,0,3,396.3456409625939,6,54592.301829468815,0,0,0,0,0,0,0,0,1,0,0
8,6545.908415371749,35674.05383356454,53,3,4,60,2,0,1,1,5,532.9324694916368,3,106943.7172634488,0,0,0,0,0,0,0,0,0,0,1
9,4162.708881842143,42607.406023874384,28,9,5,42,2,1,1,0,5,68.80958039836204,3,102543.92917678955,1,0,0,0,0,0,0,0,0,0,0
9,555.5058736372737,35554.082446828594,38,7,7,52,2,0,0,1,4,583.3953600280721,7,33041.55448441721,0,1,0,0,0,0,0,0,0,0,0
5,5230.5259563362815,8945.13410323428,9,4,15,28,2,1,1,1,4,606.0833280832666,3,80913.7894339021,0,0,0,0,0,0,0,0,0,1,0
6,6994.850682613872,4030.340461285746,9,10,15,34,1,1,0,0,5,717.9837728995243,8,38613.74956842585,0,0,0,0,0,0,0,0,0,0,1
7,1058.212627700984,35890.01299711178,21,12,14,47,3,1,1,1,2,731.3624413171285,6,36330.98149716567,0,0,0,0,0,0,1,0,0,0,0
8,4557.271275608248,29598.71232792513,6,15,5,26,2,1,0,0,3,1193.291871592478,5,113627.41993930253,0,0,0,0,0,0,1,0,0,0,0
2,2686.758698058011,18302.685025680792,27,9,10,46,1,1,0,1,2,846.0814602230541,8,89961.1542678558,0,0,0,0,0,0,0,1,0,0,0
7,3492.9592232443056,637.1827940857733,12,12,6,30,2,0,0,0,1,507.08927742878905,9,42540.181952791456,0,0,0,0,0,0,0,0,1,0,0
6,4737.551753464604,19216.153490202003,40,13,3,56,0,1,1,1,3,773.0386350060103,1,90178.53557579473,0,0,1,0,0,0,0,0,0,0,0
9,4344.068511166417,28311.06391713669,36,3,12,51,3,0,1,0,2,136.74509932651677,8,86908.93297659491,0,0,0,0,0,0,0,1,0,0,0
3,1692.454023821171,39330.59265749262,17,13,15,45,0,0,1,1,1,688.8389290174747,9,21697.672888827783,0,0,0,1,0,0,0,0,0,0,0
6,3586.321011469863,34493.839476367684,49,12,1,62,3,1,1,0,5,247.44889593138637,9,105405.32637541025,0,0,0,0,0,0,0,0,0,0,1
7,643.1092475926939,18639.444928684414,3,7,10,20,1,1,1,0,4,629.2602835701815,2,102162.92515071057,0,0,0,0,1,0,0,0,0,0,0
4,3719.642031428977,39309.83225763143,43,6,14,63,1,1,1,0,2,255.00631292417046,6,127860.87081593821,0,0,0,0,0,0,0,0,0,0,1
5,1326.6760062596966,47204.34203868894,44,6,8,58,0,1,1,0,3,814.9862034653411,2,45.97329780354602,0,0,0,0,0,0,0,0,0,1,0
4,3256.8516509735964,16393.164818836525,47,2,15,64,1,0,1,1,5,265.88873745524717,3,1072.1516598105425,1,0,0,0,0,0,0,0,0,0,0
1,5244.214403867985,14176.569212807108,57,15,15,87,2,1,1,0,3,322.6522936774426,7,121071.77547494501,0,0,0,0,0,0,0,1,0,0,0
6,5986.84965219473,11272.672415864372,30,3,5,38,1,0,1,1,6,591.9954035314943,8,99736.37486835809,0,0,0,0,0,0,0,1,0,0,0
8,7395.680956752367,19521.522050219886,49,12,1,62,3,0,0,1,6,441.38150820237394,1,781.0614470759848,0,0,0,0,1,0,0,0,0,0,0
4,3822.3165212969698,12934.828807927333,21,7,14,42,3,0,1,0,4,515.63595140174,5,107890.6408713606,0,0,0,0,0,0,0,0,0,1,0
9,6041.245600103398,49217.748237393986,21,6,12,39,2,1,0,1,3,468.9100669993634,6,6559.673738289301,1,0,0,0,0,0,0,0,0,0,0
1,2593.5551274049185,18843.04007764098,41,2,15,58,3,0,1,0,1,86.06802267892213,3,84590.51450132772,1,0,0,0,0,0,0,0,0,0,0
