Facades,Habitable Surface,Bedroom Count,Bathroom Count,Toilet Count,Room Count,Kitchen Type,Furnished,Terrace,Terrace Surface,Garden Exists,State of Building,Living Surface,EPC,Consumption Per m2,ANTWERPEN,BRUSSEL,HENEGOUWEN,LIMBURG,LUIK,LUXEMBURG,NAMEN,OOST-VLAANDEREN,VLAAMS-BRABANT,WAALS-BRABANT,WEST-VLAANDEREN
1,3144.506917578328,5,3,12,20,3,0,1,197.27000203976525,1,4,159.91518169814688,7,8028.267921377888,0,0,0,0,0,0,1,0,0,0,0
4,5471.770717002467,2,2,11,15,3,1,0,211.07467750606733,1,5,2702.3161989490795,6,65234.982074671694,0,0,0,0,0,0,0,0,1,0,0
5,3191.4582757379844,4,3,23,30,3,1,0,327.18747571878794,1,1,1013.7694817307998,3,129544.72235097771,0,0,1,0,0,0,0,0,0,0,0
2,5450.144616414819,2,1,3,6,3,1,1,159.31654513413827,1,1,271.46187773412385,6,54000.24602596408,0,0,1,0,0,0,0,0,0,0,0
2,3581.0160364732606,2,4,7,13,0,0,0,836.126312514278,0,4,1209.2424393898589,4,97618.10765266498,0,1,0,0,0,0,0,0,0,0,0
2,4453.596306227908,6,1,11,18,0,1,1,664.2431100735846,1,1,2053.367994602444,7,98338.0112121867,0,0,0,0,0,0,0,0,0,1,0
5,7766.501393911426,3,3,27,33,2,0,0,384.7494192465599,0,3,3278.8148519530628,8,37082.60652985957,0,0,1,0,0,0,0,0,0,0,0
2,4111.541050297049,4,3,3,10,1,1,1,758.7534817785889,0,2,3683.838194645154,9,43066.84447561689,0,0,0,0,0,0,0,0,0,1,0
2,6955.534378835025,4,4,23,31,2,0,1,827.2906569785673,0,4,4126.919840230125,4,67629.53442685585,0,0,0,0,0,0,1,0,0,0,0
2,3172.156356059538,3,1,5,9,1,0,0,37.95519349065498,1,6,1359.5649393112637,3,79269.9423627123,0,0,0,0,0,0,0,0,1,0,0
1,7569.551602218528,4,3,12,19,0,0,1,715.1577020840535,1,4,3184.7354332593072,2,63905.10576016203,0,0,0,0,0,0,0,0,0,1,0
2,7169.365936478996,5,4,41,50,1,0,0,523.5434742799023,1,4,3599.259842402898,6,90851.87143410197,1,0,0,0,0,0,0,0,0,0,0
1,1111.2221520980765,6,3,28,37,3,0,1,241.43462605144546,0,2,1411.1040188611212,6,108544.43443296278,0,0,0,0,0,0,0,0,0,1,0
4,2600.4438844832675,3,2,38,43,1,1,1,287.32999903995085,0,3,3088.762440366442,9,36925.789375085245,0,1,0,0,0,0,0,0,0,0,0
4,4740.912040946294,6,4,19,29,1,1,1,457.8691881747247,0,1,860.6090917683028,2,64211.422458912675,0,0,0,0,0,0,0,0,0,1,0
3,5156.170834593483,6,1,16,23,3,1,1,237.1349592531491,1,3,1321.2005569987964,6,48861.714583644505,0,0,0,0,0,0,0,1,0,0,0
4,2076.357214689336,0,1,40,41,2,0,0,597.5116703145629,0,6,2696.011549258718,5,49648.666714540814,0,0,0,0,0,0,1,0,0,0,0
1,1668.7585477262865,1,2,28,31,2,0,1,863.2691467789225,1,4,1062.3673255068554,2,7820.74950541855,0,0,0,0,1,0,0,0,0,0,0
1,2568.711938337612,3,2,1,6,2,1,0,514.3363434763008,0,5,3114.108928867395,7,60293.20568190052,0,0,0,1,0,0,0,0,0,0,0
3,2639.657324262701,2,2,17,21,2,0,1,699.606483417044,0,1,4096.210056055905,2,26099.191422461343,0,0,0,1,0,0,0,0,0,0,0
5,1471.6150413932467,4,4,18,26,0,1,0,609.5055081530812,1,4,256.19247822368993,8,103779.92872748752,0,0,0,0,1,0,0,0,0,0,0
3,4277.385081153615,3,2,27,32,0,0,1,557.5097572033974,0,1,299.2137171675636,8,96412.62587049,0,0,1,0,0,0,0,0,0,0,0
4,4259.306219687562,1,4,35,40,2,1,0,403.71977694905416,0,2,2466.0887901907886,8,113007.44615430007,0,0,0,1,0,0,0,0,0,0,0
3,4935.744198954043,0,3,19,22,1,1,0,88.74331937725798,0,2,4102.31666402679,9,133552.18569815633,0,0,0,0,1,0,0,0,0,0,0
4,4978.39354448555,5,2,1,8,3,0,0,944.731202728535,1,1,1311.9465089653104,3,38411.326791774285,0,0,0,0,0,0,0,0,1,0,0
2,6346.469593812954,0,2,25,27,2,1,0,660.4349346111353,0,4,1328.156865153769,6,134694.28207416044,0,0,0,0,1,0,0,0,0,0,0
4,6765.260054217185,1,1,29,31,3,0,0,327.7817349117374,1,6,934.0785232604312,2,105457.76764239611,0,0,0,0,0,0,0,0,1,0,0
5,4704.359997514876,2,3,17,22,1,1,1,582.8778188757228,0,3,2541.149176719196,5,63385.12101758652,0,0,0,0,0,0,0,0,0,0,1
5,7775.522293909239,6,4,11,21,3,1,1,816.1726491829075,1,4,2399.920589089229,8,64125.056533040864,0,0,1,0,0,0,0,0,0,0,0
5,596.6072080907336,6,3,38,47,2,1,0,329.7867300412038,0,1,1058.5757751572366,3,1209.1554698931866,1,0,0,0,0,0,0,0,0,0,0
3,1233.3428179126834,5,2,37,44,3,1,0,879.807308850118,1,1,2498.7041966338434,5,50326.52296187207,0,0,0,0,0,0,0,0,1,0,0
4,213.8752174653194,6,1,35,42,2,0,0,523.8087554612587,1,6,1163.1924982670353,4,129060.22940456434,0,0,0,0,0,1,0,0,0,0,0
3,1300.5347982887351,5,3,38,46,3,0,0,112.66129299036352,1,4,2752.634676796828,3,100895.81600184528,0,0,0,0,0,1,0,0,0,0,0
5,5905.477282422304,5,2,35,42,2,1,1,426.07291920525216,0,1,520.5232427538809,4,60496.571477818725,0,0,0,1,0,0,0,0,0,0,0
1,5728.857434362199,6,3,5,14,3,1,0,641.5804891860595,0,6,1347.5058903789693,5,35893.98403087472,0,0,0,0,0,0,0,0,0,1,0
3,6389.01805738642,5,3,4,12,2,1,0,364.8015375455835,0,1,787.4472059941345,3,97712.47080423575,0,0,0,0,0,1,0,0,0,0,0
5,402.3306340283295,3,2,40,45,2,0,0,28.958482054377,0,5,1962.0918792948933,8,95432.91895405513,0,0,0,1,0,0,0,0,0,0,0
1,5795.659215390291,2,1,28,31,3,0,0,52.74588665118825,0,4,3277.2252925779226,9,103852.68769241462,0,0,0,0,1,0,0,0,0,0,0
4,4363.520044518587,5,2,34,41,0,1,1,728.1977802030711,1,3,1151.7919259715254,1,83017.62558219145,0,0,0,0,0,0,0,0,0,0,1
3,4823.088632711821,0,3,24,27,1,1,0,652.586661796024,1,5,2707.7891978663374,6,7892.363539334459,1,0,0,0,0,0,0,0,0,0,0
3,1375.76807571518,6,3,6,15,0,0,1,329.36631829880446,0,2,553.2991515122775,1,64798.57443601253,0,0,0,0,0,0,0,0,0,0,1
4,4237.884501388407,0,1,21,22,1,0,0,508.64181521478173,1,3,2082.3218077649144,5,110576.33657288294,1,0,0,0,0,0,0,0,0,0,0
5,793.0885240344625,1,4,5,10,2,0,1,663.1904144013603,0,6,1003.7858437303213,1,19092.249231788537,0,0,1,0,0,0,0,0,0,0,0
5,4004.8158918180916,6,1,6,13,1,1,0,390.11096648404236,1,6,2005.6274729780948,5,12403.557673870668,0,1,0,0,0,0,0,0,0,0,0
1,3969.930791892751,6,2,3,11,3,0,0,699.0449949868678,0,2,162.93917016361826,7,123453.71158843514,0,0,1,0,0,0,0,0,0,0,0
4,2102.8550561549823,0,1,26,27,2,1,1,381.32026093771555,1,4,4037.104060327749,3,28110.872071201702,0,0,1,0,0,0,0,0,0,0,0
1,1350.3826202736266,3,3,22,28,3,1,1,813.7267555432827,0,1,1820.3332331376114,8,14525.715710711094,0,0,0,0,0,0,0,1,0,0,0
4,1485.0030278277015,4,4,17,25,2,1,0,437.60285245044565,1,5,1564.7842376387637,6,81222.6041141766,0,0,0,0,0,0,0,0,0,1,0
3,7320.5804960742225,0,3,26,29,1,0,1,946.2281451102439,0,1,2472.4278320769968,7,30665.957253007007,0,0,1,0,0,0,0,0,0,0,0
4,634.0704246472626,1,1,32,34,0,1,1,945.7228368589035,0,4,3825.0030404144986,3,123172.76006180973,0,0,0,0,1,0,0,0,0,0,0
2,3394.097696049624,2,3,16,21,2,1,0,354.21888164918056,1,4,2561.7261283154185,7,66243.97864686912,0,0,0,0,0,0,0,1,0,0,0
5,4982.053780573447,0,1,25,26,3,1,0,242.59069489986862,1,2,2482.7329956837348,4,117529.14128069769,1,0,0,0,0,0,0,0,0,0,0
5,5784.783472579962,3,3,5,11,0,0,0,81.25233381906376,1,5,1140.694604100752,2,45777.30698110769,0,0,0,0,0,0,0,0,0,0,1
1,4097.011617507227,0,2,17,19,3,1,0,661.0219888981106,1,3,2047.0640663500542,7,28575.445778151232,0,0,0,0,0,0,0,0,1,0,0
2,5441.847040111395,6,3,29,38,0,0,1,928.5129853371839,0,6,2116.542635351108,7,103479.9453772644,0,0,0,0,1,0,0,0,0,0,0
4,5972.935351328356,6,2,11,19,1,0,1,167.74288764134732,1,2,3833.5435538280276,4,38053.32740787084,0,0,0,0,0,0,1,0,0,0,0
3,972.0343876254896,1,4,12,17,3,1,1,298.19642308075055,0,4,2021.657012069285,1,85019.6476908089,0,0,0,0,0,0,0,1,0,0,0
2,4751.2949641449,5,4,5,14,0,0,0,45.660178298236396,1,4,2474.682823172405,5,31356.59020217461,0,0,0,0,0,0,0,0,0,0,1
4,5927.120129732725,4,1,35,40,3,0,0,462.73430398374836,1,2,323.28481475626216,7,57860.61698096647,0,0,0,0,1,0,0,0,0,0,0
4,5538.105921493146,1,4,9,14,3,0,1,173.4053358091019,0,4,3230.242233941297,9,26666.04778237731,0,0,0,0,0,0,1,0,0,0,0
4,6222.6816535276075,0,4,1,5,3,1,1,343.94928491233276,1,3,3247.5989583860273,9,106545.55379486887,0,0,0,0,0,0,0,0,0,0,1
4,4871.097489286646,2,2,41,45,0,0,0,64.71772240721727,0,6,3619.9218728123724,8,83425.81336398258,0,0,0,0,0,0,0,1,0,0,0
5,4067.07427770951,1,2,24,27,1,0,0,144.70929383190185,1,5,2680.438538753271,2,113171.18425751026,0,0,0,0,0,1,0,0,0,0,0
1,339.3065858762807,1,4,39,44,1,0,0,186.99373116002155,0,4,2962.654825125343,6,38752.32058855942,1,0,0,0,0,0,0,0,0,0,0
2,4641.468505732697,3,3,16,22,1,1,1,577.440088077127,1,3,555.0422554895864,6,49270.04362489437,0,0,0,0,1,0,0,0,0,0,0
1,7445.185073202463,4,1,19,24,0,1,1,734.9711161777406,1,6,2638.1427140519736,3,86234.27309220326,1,0,0,0,0,0,0,0,0,0,0
3,4279.660803551731,6,2,34,42,1,0,0,241.03521359426253,1,6,296.8420631213188,8,83511.07707684247,0,1,0,0,0,0,0,0,0,0,0
3,2845.188000157868,4,3,5,12,0,1,1,266.3918525069055,0,3,178.92186588341568,3,59576.922025807704,0,0,0,0,0,0,0,0,1,0,0
3,5348.303632427217,0,3,29,32,1,1,1,199.5271146264124,1,3,1035.1143766300565,9,49936.49875382404,0,0,0,0,0,0,0,0,0,0,1
5,6018.270875358526,2,4,10,16,1,0,0,623.6421484857835,1,1,3323.4801401769237,5,115611.28771714208,0,0,1,0,0,0,0,0,0,0,0
4,681.0240720064863,2,2,40,44,1,1,1,48.53081929485,0,3,1157.227727746151,5,129100.39268886611,0,0,0,0,0,1,0,0,0,0,0
1,7297.759895723344,0,1,38,39,2,0,1,391.2018809642529,0,5,147.5474578680092,9,81981.81973733752,0,1,0,0,0,0,0,0,0,0,0
5,3452.0927068590754,5,2,15,22,3,0,0,526.3036885921285,0,3,2265.694675764597,3,70006.33663475218,0,0,0,1,0,0,0,0,0,0,0
4,4925.592392774919,5,2,19,26,0,1,0,245.5941854007054,1,1,4132.912912045155,3,42347.22118068454,0,0,0,0,0,0,0,0,1,0,0
3,3215.592652587681,3,3,10,16,3,1,1,611.5718123815329,0,1,2589.288225695984,6,31771.94178910105,1,0,0,0,0,0,0,0,0,0,0
1,4779.476593249125,2,2,29,33,0,1,1,707.0747157610671,1,5,3834.2290212442804,8,52857.777085824986,0,0,1,0,0,0,0,0,0,0,0
